-1,name,club_logo,flag,photo,acceleration,sprint_speed,positioning,finishing,shot_power,long_shots,volleys,penalties,vision,crossing,free_kick_accuracy,short_passing,long_passing,curve,agility,balance,reactions,ball_control,dribbling,composure,interceptions,heading_accuracy,marking,standing_tackle,sliding_tackle,jumping,stamina,strength,aggression,position
16,A. Griezmann,https://cdn.sofifa.org/18/teams/240.png,https://cdn.sofifa.org/flags/18@3x.png,https://cdn.sofifa.org/18/players/194765.png,87,86,91,88,81,82,87,71,76,82,75,79,75,84,90,80,90,86,87,86,35,80,23,22,11,87,76,61,69,st
17,P. Aubameyang,https://cdn.sofifa.org/18/teams/22.png,https://cdn.sofifa.org/flags/115@3x.png,https://cdn.sofifa.org/18/players/188567.png,95,96,89,88,81,79,86,74,77,77,74,77,64,78,77,70,87,82,82,84,48,79,28,25,36,77,79,77,43,st
18,Z. Ibrahimovic,https://cdn.sofifa.org/18/teams/11.png,https://cdn.sofifa.org/flags/46@3x.png,https://cdn.sofifa.org/18/players/41236.png,63,67,86,87,91,85,90,91,83,76,82,84,76,82,81,41,86,88,82,91,20,80,15,41,27,69,71,88,84,st
19,Thiago,https://cdn.sofifa.org/18/teams/21.png,https://cdn.sofifa.org/flags/45@3x.png,https://cdn.sofifa.org/18/players/189509.png,77,68,83,69,75,82,90,75,86,72,77,91,90,85,90,86,84,92,90,83,78,58,49,64,62,75,75,59,57,mid
20,M. Ozil,https://cdn.sofifa.org/18/teams/1.png,https://cdn.sofifa.org/flags/21@3x.png,https://cdn.sofifa.org/18/players/176635.png,75,68,83,74,70,76,77,67,92,82,79,89,84,84,83,70,87,90,86,78,24,54,22,16,19,52,69,57,48,mid
21,D. Godin,https://cdn.sofifa.org/18/teams/240.png,https://cdn.sofifa.org/flags/60@3x.png,https://cdn.sofifa.org/18/players/182493.png,64,70,48,42,67,43,47,50,52,55,51,79,70,49,63,58,85,76,53,82,88,92,87,86,89,89,67,80,88,cb
22,M. Hummels,https://cdn.sofifa.org/18/teams/21.png,https://cdn.sofifa.org/flags/21@3x.png,https://cdn.sofifa.org/18/players/178603.png,62,65,56,55,71,51,60,68,79,64,53,80,85,65,64,58,85,77,68,91,89,89,85,92,90,68,66,85,66,cb
23,Thiago Silva,https://cdn.sofifa.org/18/teams/73.png,https://cdn.sofifa.org/flags/54@3x.png,https://cdn.sofifa.org/18/players/164240.png,70,74,59,38,74,71,63,71,74,60,67,79,81,61,74,68,84,80,68,83,89,82,90,89,88,93,74,81,77,cb
24,J. Boateng,https://cdn.sofifa.org/18/teams/21.png,https://cdn.sofifa.org/flags/21@3x.png,https://cdn.sofifa.org/18/players/183907.png,72,78,47,34,79,58,53,46,76,69,31,75,80,56,58,53,82,71,67,86,83,85,88,91,90,75,74,91,82,cb
25,A. Robben,https://cdn.sofifa.org/18/teams/21.png,https://cdn.sofifa.org/flags/34@3x.png,https://cdn.sofifa.org/18/players/9014.png,87,86,85,85,87,88,86,80,83,80,81,84,71,87,89,91,87,89,92,86,39,51,29,26,26,61,68,67,47,win
26,L. Bonucci,https://cdn.sofifa.org/18/teams/47.png,https://cdn.sofifa.org/flags/27@3x.png,https://cdn.sofifa.org/18/players/184344.png,62,72,38,39,74,65,58,70,74,44,61,79,85,56,60,52,86,75,69,84,90,88,84,88,88,85,73,85,82,cb
27,P. Pogba,https://cdn.sofifa.org/18/teams/11.png,https://cdn.sofifa.org/flags/18@3x.png,https://cdn.sofifa.org/18/players/195864.png,72,76,83,71,90,82,85,76,86,78,82,86,88,84,76,61,84,89,86,85,68,73,66,68,66,85,91,91,75,mid
28,Iniesta,https://cdn.sofifa.org/18/teams/241.png,https://cdn.sofifa.org/flags/45@3x.png,https://cdn.sofifa.org/18/players/41.png,72,71,84,70,65,71,74,71,94,77,70,92,86,80,79,84,88,94,90,89,66,54,57,57,56,52,58,58,58,mid
29,David Silva,https://cdn.sofifa.org/18/teams/10.png,https://cdn.sofifa.org/flags/45@3x.png,https://cdn.sofifa.org/18/players/168542.png,72,65,81,71,71,73,79,73,92,83,75,91,79,82,92,89,84,90,84,92,43,54,25,44,29,66,78,56,51,mid
30,I. Rakitic,https://cdn.sofifa.org/18/teams/241.png,https://cdn.sofifa.org/flags/10@3x.png,https://cdn.sofifa.org/18/players/168651.png,67,64,80,83,84,88,80,78,87,81,84,87,92,88,72,66,79,87,84,81,69,58,52,65,53,44,76,63,67,mid
31,M. Hamsik,https://cdn.sofifa.org/18/teams/48.png,https://cdn.sofifa.org/flags/43@3x.png,https://cdn.sofifa.org/18/players/171877.png,72,75,88,78,82,83,79,70,86,78,72,88,82,80,76,66,88,87,86,84,72,74,60,73,62,71,85,69,56,mid
32,A. Vidal,https://cdn.sofifa.org/18/teams/21.png,https://cdn.sofifa.org/flags/55@3x.png,https://cdn.sofifa.org/18/players/181872.png,76,74,80,77,86,85,78,81,80,76,68,84,82,76,75,77,89,83,76,86,85,81,76,89,85,82,91,77,93,mid
33,C. Eriksen,https://cdn.sofifa.org/18/teams/18.png,https://cdn.sofifa.org/flags/13@3x.png,https://cdn.sofifa.org/18/players/190460.png,77,74,81,76,80,84,74,67,90,86,87,89,86,85,78,82,83,87,84,87,55,52,38,56,22,57,90,57,44,mid
34,M. Verratti,https://cdn.sofifa.org/18/teams/73.png,https://cdn.sofifa.org/flags/27@3x.png,https://cdn.sofifa.org/18/players/199556.png,69,62,71,58,56,58,64,64,88,72,64,90,89,73,87,94,87,88,90,91,86,55,76,84,79,64,77,56,89,mid
35,N. Kante,https://cdn.sofifa.org/18/teams/5.png,https://cdn.sofifa.org/flags/18@3x.png,https://cdn.sofifa.org/18/players/215914.png,82,80,71,65,72,66,56,54,76,67,49,84,79,49,83,90,87,79,77,84,91,54,75,89,85,79,94,77,90,mid
36,Marcelo,https://cdn.sofifa.org/18/teams/243.png,https://cdn.sofifa.org/flags/54@3x.png,https://cdn.sofifa.org/18/players/176676.png,77,79,75,67,83,66,54,59,75,90,67,82,76,80,77,82,87,88,86,85,86,71,80,85,87,77,81,77,84,wb
37,Pique,https://cdn.sofifa.org/18/teams/241.png,https://cdn.sofifa.org/flags/45@3x.png,https://cdn.sofifa.org/18/players/152729.png,55,73,58,64,62,51,57,69,62,57,43,81,80,58,58,42,84,78,59,86,88,83,86,87,86,74,66,83,72,cb
38,E. Cavani,https://cdn.sofifa.org/18/teams/73.png,https://cdn.sofifa.org/flags/60@3x.png,https://cdn.sofifa.org/18/players/179813.png,75,78,92,83,85,78,84,84,77,70,74,78,50,75,81,59,90,80,80,83,48,88,24,45,27,88,92,74,84,st
39,T. Alderweireld,https://cdn.sofifa.org/18/teams/18.png,https://cdn.sofifa.org/flags/7@3x.png,https://cdn.sofifa.org/18/players/184087.png,62,69,56,45,86,66,38,60,67,64,69,77,81,63,60,50,86,70,62,81,84,82,89,90,85,81,76,82,81,cb
40,H. Kane,https://cdn.sofifa.org/18/teams/18.png,https://cdn.sofifa.org/flags/14@3x.png,https://cdn.sofifa.org/18/players/202126.png,70,75,89,90,87,84,73,86,75,70,66,75,67,71,73,62,87,82,78,84,35,83,41,36,38,70,85,86,74,st
41,R. Lukaku,https://cdn.sofifa.org/18/teams/11.png,https://cdn.sofifa.org/flags/7@3x.png,https://cdn.sofifa.org/18/players/192505.png,76,89,87,89,88,75,76,82,73,68,66,71,68,72,62,47,85,75,78,84,27,87,27,30,30,71,80,93,72,st
42,T. Muller,https://cdn.sofifa.org/18/teams/21.png,https://cdn.sofifa.org/flags/21@3x.png,https://cdn.sofifa.org/18/players/189596.png,76,78,93,87,77,77,83,60,81,77,59,81,68,81,76,72,92,82,75,83,58,82,31,41,44,81,90,67,57,st
43,M. Reus,https://cdn.sofifa.org/18/teams/22.png,https://cdn.sofifa.org/flags/21@3x.png,https://cdn.sofifa.org/18/players/188350.png,86,90,86,86,87,88,88,87,86,80,84,86,80,90,86,81,87,85,86,83,50,49,30,36,46,72,68,67,49,st
44,Diego Costa,https://cdn.sofifa.org/18/teams/5.png,https://cdn.sofifa.org/flags/45@3x.png,https://cdn.sofifa.org/18/players/179844.png,74,75,88,88,84,73,81,76,74,65,59,67,52,62,58,52,86,83,77,84,40,83,28,39,34,64,83,91,93,st
45,D. Mertens,https://cdn.sofifa.org/18/teams/48.png,https://cdn.sofifa.org/flags/7@3x.png,https://cdn.sofifa.org/18/players/175943.png,93,87,85,85,80,81,70,78,82,77,77,81,74,81,94,92,85,88,89,81,36,35,30,40,40,60,75,42,59,st
46,K. Benzema,https://cdn.sofifa.org/18/teams/243.png,https://cdn.sofifa.org/flags/18@3x.png,https://cdn.sofifa.org/18/players/165153.png,77,78,87,84,83,77,79,82,85,75,73,86,55,79,77,60,83,86,82,79,22,78,13,15,12,70,73,78,65,st
47,David Luiz,https://cdn.sofifa.org/18/teams/5.png,https://cdn.sofifa.org/flags/54@3x.png,https://cdn.sofifa.org/18/players/179944.png,68,71,54,55,77,71,64,75,69,68,76,79,78,70,72,56,79,79,66,78,87,83,80,85,84,80,76,81,86,cb
48,Alex Sandro,https://cdn.sofifa.org/18/teams/45.png,https://cdn.sofifa.org/flags/54@3x.png,https://cdn.sofifa.org/18/players/191043.png,84,88,70,55,80,72,68,60,70,86,59,81,71,78,79,79,86,81,82,82,82,76,78,84,84,79,93,80,82,win
49,D. Alaba,https://cdn.sofifa.org/18/teams/21.png,https://cdn.sofifa.org/flags/4@3x.png,https://cdn.sofifa.org/18/players/197445.png,86,86,77,63,83,83,68,80,78,82,85,83,80,78,79,77,84,83,79,79,85,75,81,83,83,82,87,69,69,cb
50,J. Rodriguez,https://cdn.sofifa.org/18/teams/21.png,https://cdn.sofifa.org/flags/56@3x.png,https://cdn.sofifa.org/18/players/198710.png,77,75,80,82,86,91,91,81,86,88,86,84,80,87,82,75,84,85,83,87,55,62,25,42,30,54,68,70,65,win
51,Isco,https://cdn.sofifa.org/18/teams/243.png,https://cdn.sofifa.org/flags/45@3x.png,https://cdn.sofifa.org/18/players/197781.png,74,69,83,88,72,87,64,76,84,72,74,86,85,86,83,85,79,91,90,86,70,55,25,73,51,64,71,59,58,win
52,F. Ribery,https://cdn.sofifa.org/18/teams/21.png,https://cdn.sofifa.org/flags/18@3x.png,https://cdn.sofifa.org/18/players/156616.png,85,79,81,76,76,75,80,78,86,81,81,86,75,83,88,91,86,90,90,86,36,41,13,25,26,34,64,60,52,win
53,Coutinho,https://cdn.sofifa.org/18/teams/9.png,https://cdn.sofifa.org/flags/54@3x.png,https://cdn.sofifa.org/18/players/189242.png,88,77,83,74,80,86,75,64,87,77,82,85,78,84,92,92,81,88,88,85,30,47,24,44,40,59,80,61,55,win
54,Javi Martinez,https://cdn.sofifa.org/18/teams/21.png,https://cdn.sofifa.org/flags/45@3x.png,https://cdn.sofifa.org/18/players/177610.png,49,50,57,53,76,63,61,52,74,60,45,75,74,54,54,58,84,71,62,83,86,90,84,87,87,83,64,84,91,cb
55,Sokratis,https://cdn.sofifa.org/18/teams/22.png,https://cdn.sofifa.org/flags/22@3x.png,https://cdn.sofifa.org/18/players/172879.png,71,84,50,44,79,48,46,33,52,47,35,64,64,36,62,68,81,58,58,82,80,87,88,90,86,87,74,86,91,cb
56,Cesc Fàbregas,https://cdn.sofifa.org/18/teams/5.png,https://cdn.sofifa.org/flags/45@3x.png,https://cdn.sofifa.org/18/players/162895.png,65,62,78,76,77,75,81,80,91,85,81,91,90,77,65,77,81,86,80,92,50,74,60,63,62,68,80,64,45,mid
57,Sergio Busquets,https://cdn.sofifa.org/18/teams/241.png,https://cdn.sofifa.org/flags/45@3x.png,https://cdn.sofifa.org/18/players/189511.png,48,34,77,60,61,54,44,60,84,62,68,88,79,66,58,55,82,80,74,88,86,68,81,85,80,66,88,77,85,mid
58,R. Nainggolan,https://cdn.sofifa.org/18/teams/52.png,https://cdn.sofifa.org/flags/7@3x.png,https://cdn.sofifa.org/18/players/178518.png,80,76,88,76,84,86,75,63,76,73,68,84,81,73,81,84,87,85,80,85,86,59,78,86,88,76,94,76,88,mid
59,Pepe,https://cdn.sofifa.org/18/teams/327.png,https://cdn.sofifa.org/flags/38@3x.png,https://cdn.sofifa.org/18/players/120533.png,65,70,40,46,63,56,23,57,48,46,47,70,61,44,63,49,83,62,58,77,86,80,86,86,87,76,62,84,94,cb
60,Miranda,https://cdn.sofifa.org/18/teams/44.png,https://cdn.sofifa.org/flags/54@3x.png,https://cdn.sofifa.org/18/players/168609.png,67,74,43,43,70,41,51,49,58,48,39,70,69,32,61,57,82,72,65,84,88,83,89,90,86,82,65,80,83,cb
61,C. Marchisio,https://cdn.sofifa.org/18/teams/45.png,https://cdn.sofifa.org/flags/27@3x.png,https://cdn.sofifa.org/18/players/173210.png,78,78,80,61,82,82,76,78,84,76,78,87,85,78,81,79,86,85,84,84,80,68,72,78,80,68,81,70,78,mid
62,B. Matuidi,https://cdn.sofifa.org/18/teams/45.png,https://cdn.sofifa.org/flags/18@3x.png,https://cdn.sofifa.org/18/players/170890.png,79,78,68,65,74,66,72,56,75,75,52,84,79,65,76,79,84,77,73,82,85,73,83,84,81,84,94,78,85,mid
63,Y. Carrasco,https://cdn.sofifa.org/18/teams/240.png,https://cdn.sofifa.org/flags/7@3x.png,https://cdn.sofifa.org/18/players/208418.png,87,89,82,79,84,75,68,74,74,80,78,79,74,81,91,71,83,86,91,75,18,53,19,39,26,68,73,59,61,win
64,I. Gundogan,https://cdn.sofifa.org/18/teams/10.png,https://cdn.sofifa.org/flags/21@3x.png,https://cdn.sofifa.org/18/players/186942.png,73,70,79,72,77,74,75,76,87,74,74,88,83,81,83,81,87,88,87,86,79,49,57,67,64,62,71,74,68,mid
65,H. Mkhitaryan,https://cdn.sofifa.org/18/teams/11.png,https://cdn.sofifa.org/flags/3@3x.png,https://cdn.sofifa.org/18/players/192883.png,88,84,82,77,87,75,81,72,85,79,64,84,72,83,89,85,82,87,87,79,64,53,49,53,55,71,86,63,69,mid
66,Koke,https://cdn.sofifa.org/18/teams/240.png,https://cdn.sofifa.org/flags/45@3x.png,https://cdn.sofifa.org/18/players/193747.png,74,70,82,71,84,81,56,59,89,84,76,86,85,85,77,79,84,86,80,75,66,61,66,69,51,61,84,75,71,mid
67,Casemiro,https://cdn.sofifa.org/18/teams/243.png,https://cdn.sofifa.org/flags/54@3x.png,https://cdn.sofifa.org/18/players/200145.png,63,61,66,59,86,77,53,66,76,52,74,82,84,59,66,57,83,78,69,86,86,74,83,87,86,87,85,85,87,mid
68,A. Lacazette,https://cdn.sofifa.org/18/teams/1.png,https://cdn.sofifa.org/flags/18@3x.png,https://cdn.sofifa.org/18/players/193301.png,84,87,87,87,81,76,82,84,74,64,71,79,59,74,87,84,85,84,85,86,40,72,23,42,30,76,80,79,70,st
69,Morata,https://cdn.sofifa.org/18/teams/5.png,https://cdn.sofifa.org/flags/45@3x.png,https://cdn.sofifa.org/18/players/201153.png,79,87,85,84,80,76,81,70,76,73,44,78,51,76,65,60,81,84,83,80,24,83,14,14,20,79,73,82,56,st
70,M. Pjanic,https://cdn.sofifa.org/18/teams/45.png,https://cdn.sofifa.org/flags/8@3x.png,https://cdn.sofifa.org/18/players/180206.png,74,74,70,61,78,82,72,79,88,80,91,89,85,86,79,79,84,89,86,84,74,60,62,70,66,61,78,65,68,mid
71,L. Insigne,https://cdn.sofifa.org/18/teams/48.png,https://cdn.sofifa.org/flags/27@3x.png,https://cdn.sofifa.org/18/players/198219.png,94,86,83,73,70,80,74,61,87,83,77,83,73,83,96,93,80,90,88,78,26,56,16,24,22,53,75,44,34,win
72,Filipe Luis,https://cdn.sofifa.org/18/teams/240.png,https://cdn.sofifa.org/flags/54@3x.png,https://cdn.sofifa.org/18/players/164169.png,75,82,71,59,71,60,56,65,70,84,75,78,77,74,74,60,83,81,77,88,82,68,85,83,86,63,91,74,81,wb
73,R. Varane,https://cdn.sofifa.org/18/teams/243.png,https://cdn.sofifa.org/flags/18@3x.png,https://cdn.sofifa.org/18/players/201535.png,80,85,44,40,52,53,42,43,56,36,54,75,76,46,58,47,81,77,57,82,82,83,84,86,85,80,68,85,77,cb
74,K. Glik,https://cdn.sofifa.org/18/teams/69.png,https://cdn.sofifa.org/flags/37@3x.png,https://cdn.sofifa.org/18/players/190547.png,53,58,24,27,57,20,17,39,23,29,26,63,59,35,34,55,79,59,51,79,87,85,85,87,83,82,72,90,86,cb
75,Azpilicueta,https://cdn.sofifa.org/18/teams/5.png,https://cdn.sofifa.org/flags/45@3x.png,https://cdn.sofifa.org/18/players/184432.png,78,79,62,46,68,60,51,66,68,78,58,80,74,66,75,73,86,79,69,78,85,76,87,88,87,76,88,73,80,cb
76,Jordi Alba,https://cdn.sofifa.org/18/teams/241.png,https://cdn.sofifa.org/flags/45@3x.png,https://cdn.sofifa.org/18/players/189332.png,93,93,77,73,64,66,60,59,68,82,64,79,70,77,90,86,82,83,80,75,83,63,81,84,83,81,90,60,75,wb
77,J. Vertonghen,https://cdn.sofifa.org/18/teams/18.png,https://cdn.sofifa.org/flags/7@3x.png,https://cdn.sofifa.org/18/players/172871.png,68,66,60,56,86,68,52,68,68,68,73,79,74,58,62,55,82,74,69,81,86,81,84,86,86,83,79,81,83,cb
78,V. Kompany,https://cdn.sofifa.org/18/teams/10.png,https://cdn.sofifa.org/flags/7@3x.png,https://cdn.sofifa.org/18/players/139720.png,61,64,41,45,75,55,46,63,59,61,52,72,66,61,60,42,84,68,63,81,80,84,84,85,84,71,74,88,87,cb
79,A. Barzagli,https://cdn.sofifa.org/18/teams/45.png,https://cdn.sofifa.org/flags/27@3x.png,https://cdn.sofifa.org/18/players/137186.png,64,76,28,21,54,39,35,60,62,40,31,65,65,50,51,64,80,65,64,82,92,72,90,90,88,85,46,87,70,cb
80,A. Di Maria,https://cdn.sofifa.org/18/teams/73.png,https://cdn.sofifa.org/flags/52@3x.png,https://cdn.sofifa.org/18/players/183898.png,86,86,82,74,83,77,77,73,81,85,72,83,79,78,92,79,80,85,86,82,38,53,37,59,56,72,78,60,73,win
81,N. Matic,https://cdn.sofifa.org/18/teams/11.png,https://cdn.sofifa.org/flags/51@3x.png,https://cdn.sofifa.org/18/players/191202.png,62,66,68,64,78,75,74,69,75,68,67,83,81,68,56,53,82,78,72,84,85,77,75,83,75,71,89,89,83,mid
82,Marco Asensio,https://cdn.sofifa.org/18/teams/243.png,https://cdn.sofifa.org/flags/45@3x.png,https://cdn.sofifa.org/18/players/220834.png,83,82,72,82,84,87,75,62,83,79,76,86,81,83,78,76,78,86,83,82,45,50,29,42,39,57,73,61,45,mid
83,D. Alli,https://cdn.sofifa.org/18/teams/18.png,https://cdn.sofifa.org/flags/14@3x.png,https://cdn.sofifa.org/18/players/211117.png,77,76,86,84,77,79,76,68,83,68,53,83,76,71,74,62,85,85,83,86,67,75,60,63,57,69,89,71,84,mid
84,J. Draxler,https://cdn.sofifa.org/18/teams/73.png,https://cdn.sofifa.org/flags/21@3x.png,https://cdn.sofifa.org/18/players/202166.png,76,79,79,78,86,81,84,63,84,83,75,84,77,78,81,75,83,87,88,81,36,65,25,35,26,76,68,67,48,mid
85,Ander Herrera,https://cdn.sofifa.org/18/teams/11.png,https://cdn.sofifa.org/flags/45@3x.png,https://cdn.sofifa.org/18/players/191740.png,76,70,78,71,72,72,69,79,84,74,65,86,80,80,84,82,85,86,81,84,86,60,80,78,76,63,87,70,86,mid
86,A. Gomez,https://cdn.sofifa.org/18/teams/39.png,https://cdn.sofifa.org/flags/52@3x.png,https://cdn.sofifa.org/18/players/143076.png,94,86,81,78,76,78,72,71,85,82,71,82,72,78,92,94,83,87,89,84,40,36,24,30,34,70,78,48,56,st
87,K. Strootman,https://cdn.sofifa.org/18/teams/52.png,https://cdn.sofifa.org/flags/34@3x.png,https://cdn.sofifa.org/18/players/189712.png,65,68,78,68,85,78,63,77,84,74,74,86,83,75,65,68,84,85,76,85,84,68,72,83,75,53,82,83,86,mid
88,E. Bailly,https://cdn.sofifa.org/18/teams/11.png,https://cdn.sofifa.org/flags/108@3x.png,https://cdn.sofifa.org/18/players/225508.png,75,80,47,33,55,48,42,46,54,51,43,72,56,46,63,63,78,68,63,74,85,81,82,85,85,84,78,85,87,cb
89,A. Laporte,https://cdn.sofifa.org/18/teams/448.png,https://cdn.sofifa.org/flags/18@3x.png,https://cdn.sofifa.org/18/players/212218.png,68,70,54,45,68,47,40,35,52,58,69,73,78,61,49,55,82,71,55,74,85,85,86,88,85,77,71,84,72,cb
90,K. Koulibaly,https://cdn.sofifa.org/18/teams/48.png,https://cdn.sofifa.org/flags/136@3x.png,https://cdn.sofifa.org/18/players/201024.png,69,76,24,19,55,15,14,33,34,30,28,59,48,28,50,40,80,59,54,78,86,79,85,87,85,77,73,93,87,cb
91,K. Manolas,https://cdn.sofifa.org/18/teams/52.png,https://cdn.sofifa.org/flags/22@3x.png,https://cdn.sofifa.org/18/players/192774.png,78,81,25,10,43,12,16,26,22,27,10,60,61,30,68,60,81,65,54,75,85,80,88,86,87,86,78,84,86,cb
92,S. Mustafi,https://cdn.sofifa.org/18/teams/1.png,https://cdn.sofifa.org/flags/21@3x.png,https://cdn.sofifa.org/18/players/192227.png,64,69,50,58,66,52,51,54,55,50,47,77,69,55,66,69,82,70,53,74,85,81,82,83,85,84,74,81,79,cb
93,M. Benatia,https://cdn.sofifa.org/18/teams/45.png,https://cdn.sofifa.org/flags/129@3x.png,https://cdn.sofifa.org/18/players/177509.png,72,76,38,45,59,24,31,41,47,45,27,65,65,34,59,51,78,65,64,78,84,80,86,86,84,82,68,89,82,cb
94,L. Koscielny,https://cdn.sofifa.org/18/teams/1.png,https://cdn.sofifa.org/flags/18@3x.png,https://cdn.sofifa.org/18/players/165229.png,74,76,39,32,54,47,35,51,56,52,49,76,69,22,68,62,82,67,62,75,86,81,83,87,84,82,75,76,88,cb
95,G. Cahill,https://cdn.sofifa.org/18/teams/5.png,https://cdn.sofifa.org/flags/14@3x.png,https://cdn.sofifa.org/18/players/164468.png,62,63,45,56,63,66,47,53,56,28,27,65,61,48,62,51,85,63,58,75,83,86,84,85,84,82,69,80,84,cb
96,M. Icardi,https://cdn.sofifa.org/18/teams/44.png,https://cdn.sofifa.org/flags/52@3x.png,https://cdn.sofifa.org/18/players/201399.png,75,80,89,89,81,70,81,78,64,46,45,73,54,58,74,76,83,77,74,82,22,84,17,21,21,92,70,74,55,st
97,Bruno,https://cdn.sofifa.org/18/teams/483.png,https://cdn.sofifa.org/flags/45@3x.png,https://cdn.sofifa.org/18/players/184120.png,42,41,69,66,84,81,48,75,83,60,77,87,86,72,53,59,84,83,75,86,85,61,70,84,85,66,76,77,79,mid
98,E. Džeko,https://cdn.sofifa.org/18/teams/52.png,https://cdn.sofifa.org/flags/8@3x.png,https://cdn.sofifa.org/18/players/180930.png,67,61,89,87,86,73,77,67,70,63,54,77,72,65,57,36,83,80,76,79,50,84,11,28,16,66,70,82,51,st
99,Falcao,https://cdn.sofifa.org/18/teams/69.png,https://cdn.sofifa.org/flags/56@3x.png,https://cdn.sofifa.org/18/players/167397.png,73,66,87,87,79,80,84,84,68,55,71,78,58,83,85,75,84,82,74,87,41,90,16,42,19,92,68,75,75,st
