,overall,ball_control,reactions
419,80,77,79
420,80,62,74
421,80,78,77
422,80,64,72
424,80,82,80
425,80,80,79
426,80,80,80
427,80,78,79
428,80,87,78
429,80,81,81
430,80,78,84
431,80,80,82
432,80,85,78
433,80,85,76
434,80,82,74
435,80,82,74
436,80,73,79
437,80,81,74
438,80,77,77
439,80,68,77
440,80,80,82
442,80,80,80
443,80,84,81
444,80,82,75
445,80,79,80
446,80,75,77
448,80,83,78
449,80,71,77
450,80,83,80
451,80,80,77
452,80,60,66
453,80,80,77
454,80,80,84
455,80,86,72
456,80,78,76
457,80,85,78
458,80,80,83
459,80,78,73
460,80,69,75
461,80,71,78
462,80,74,75
463,80,82,80
464,80,83,75
465,80,78,74
466,80,78,78
467,80,72,79
468,80,79,82
469,80,75,80
470,80,72,72
471,80,78,71
472,80,78,80
473,80,76,75
474,80,81,80
475,80,85,78
477,80,77,81
478,80,60,78
479,80,81,82
480,80,77,75
481,80,85,82
482,80,86,76
483,80,85,71
484,80,83,73
485,80,65,70
486,80,68,78
488,80,84,78
489,80,73,78
490,80,81,82
491,80,85,78
492,80,82,77
493,80,79,76
494,80,84,83
495,80,56,71
496,80,69,74
497,80,78,78
498,80,61,76
499,80,55,76
500,80,78,77
503,80,76,84
504,80,82,81
505,80,85,82
506,80,83,72
507,80,63,76
508,80,78,76
509,80,74,82
510,80,80,80
514,80,83,76
515,80,78,84
516,80,80,83
517,80,79,80
518,80,65,76
520,80,62,74
521,80,77,81
523,80,79,85
524,79,79,79
525,79,82,81
526,79,77,81
528,79,76,84
529,79,79,75
530,79,62,78
532,79,75,78
533,79,82,74
534,79,73,75
535,79,61,71
536,79,77,69
537,79,73,79
538,79,79,76
540,79,81,72
541,79,76,76
542,79,78,79
543,79,73,77
544,79,82,78
545,79,76,78
546,79,86,70
547,79,78,75
548,79,75,74
549,79,74,78
550,79,79,78
551,79,65,74
552,79,82,80
553,79,80,79
554,79,86,80
555,79,85,82
556,79,79,78
557,79,79,76
558,79,78,77
559,79,77,75
560,79,79,80
561,79,84,80
562,79,83,75
563,79,76,75
564,79,83,80
565,79,61,76
566,79,80,77
567,79,66,74
568,79,79,81
569,79,81,80
570,79,77,75
571,79,76,73
572,79,80,79
573,79,66,72
574,79,68,76
575,79,80,74
576,79,83,76
577,79,64,73
578,79,65,78
579,79,82,75
580,79,76,76
581,79,58,76
582,79,85,70
583,79,77,74
584,79,81,76
585,79,79,76
586,79,79,86
587,79,81,78
588,79,82,76
589,79,80,75
590,79,83,76
591,79,72,75
592,79,80,84
593,79,64,66
594,79,82,75
595,79,79,79
596,79,66,72
597,79,63,68
599,79,80,79
600,79,82,78
601,79,78,72
602,79,76,74
603,79,82,74
604,79,77,76
605,79,77,81
607,79,86,75
608,79,82,63
610,79,78,73
611,79,75,72
612,79,83,81
613,79,63,78
614,79,78,74
615,79,78,74
616,79,79,77
618,79,77,80
619,79,80,75
620,79,72,76
621,79,55,74
622,79,81,75
624,79,79,79
625,79,75,81
626,79,82,77
627,79,82,78
628,79,52,73
629,79,74,79
630,79,80,75
631,79,76,77
632,79,59,70
634,79,79,74
635,79,76,78
636,79,65,74
637,79,77,75
639,79,57,73
640,79,74,78
641,79,77,80
642,79,78,72
643,79,84,81
644,79,74,77
645,79,79,75
647,79,57,78
648,79,73,79
649,79,80,76
650,79,78,79
651,79,80,76
652,79,79,82
653,79,79,81
654,79,80,80
655,79,62,78
656,79,81,81
657,79,78,75
658,79,54,73
659,79,70,78
661,79,82,77
662,79,82,81
663,79,60,74
664,79,78,82
665,79,69,78
666,79,58,76
667,79,78,85
668,79,81,81
669,79,78,76
670,79,76,75
671,79,58,69
672,79,49,70
674,79,78,75
675,79,78,78
676,79,82,85
677,79,75,75
679,79,75,85
682,79,77,72
684,79,80,81
687,79,75,77
689,79,83,71
690,79,83,77
691,79,76,79
692,79,81,69
694,78,78,79
695,78,79,77
696,78,73,80
697,78,79,77
698,78,73,76
700,78,79,76
701,78,74,79
702,78,80,72
703,78,76,79
704,78,79,78
705,78,69,76
706,78,76,73
707,78,75,75
708,78,83,78
709,78,77,75
710,78,59,70
712,78,79,80
713,78,83,74
714,78,76,78
715,78,78,71
716,78,81,80
717,78,63,73
718,78,80,79
719,78,80,77
720,78,77,73
721,78,77,73
723,78,78,69
724,78,76,74
725,78,73,75
726,78,64,75
727,78,75,71
728,78,85,75
729,78,78,70
730,78,75,76
731,78,72,73
732,78,79,79
733,78,79,73
734,78,81,75
735,78,78,78
736,78,79,76
737,78,80,76
738,78,65,76
739,78,74,72
740,78,80,75
741,78,67,78
742,78,77,74
744,78,80,76
745,78,83,71
746,78,75,72
747,78,80,73
748,78,74,72
749,78,79,74
750,78,72,76
751,78,82,75
752,78,83,78
753,78,81,75
754,78,66,71
755,78,59,77
756,78,82,76
757,78,81,74
758,78,83,67
759,78,80,77
760,78,76,76
761,78,77,79
762,78,79,78
764,78,82,70
765,78,79,70
766,78,82,76
767,78,77,74
768,78,76,76
769,78,80,78
770,78,78,72
771,78,78,76
772,78,56,74
773,78,82,76
774,78,74,77
775,78,79,73
776,78,81,71
777,78,76,72
778,78,79,74
780,78,80,78
781,78,73,76
782,78,74,81
784,78,72,79
787,78,80,75
788,78,77,79
789,78,73,77
790,78,78,76
791,78,80,76
792,78,77,79
793,78,79,75
794,78,80,70
795,78,82,74
796,78,71,61
797,78,68,69
798,78,78,78
799,78,74,78
800,78,82,79
801,78,79,78
802,78,84,76
803,78,82,78
804,78,83,77
805,78,74,78
806,78,80,78
807,78,79,71
808,78,80,75
809,78,66,77
810,78,73,78
811,78,77,77
812,78,76,78
814,78,80,76
815,78,80,75
816,78,64,79
817,78,78,75
818,78,68,77
819,78,83,68
820,78,78,77
821,78,50,66
822,78,63,77
823,78,65,74
824,78,78,77
825,78,74,76
826,78,80,79
827,78,76,75
828,78,78,74
830,78,82,74
831,78,74,74
832,78,78,72
833,78,73,67
834,78,78,78
835,78,78,79
836,78,80,73
837,78,80,79
838,78,81,76
839,78,82,75
840,78,78,75
841,78,80,76
842,78,73,76
843,78,81,78
844,78,80,70
845,78,85,72
846,78,75,72
847,78,83,70
848,78,75,77
849,78,72,77
850,78,75,72
851,78,47,75
852,78,77,77
853,78,82,78
854,78,80,75
855,78,75,74
856,78,75,73
857,78,75,75
858,78,74,77
859,78,75,71
860,78,70,70
861,78,80,70
863,78,81,67
864,78,79,76
865,78,76,74
866,78,80,74
867,78,81,77
868,78,65,74
869,78,82,69
870,78,55,64
871,78,80,75
873,78,75,77
874,78,78,72
875,78,83,74
876,78,82,73
877,78,79,78
878,78,83,76
879,78,77,79
881,78,83,75
882,78,62,81
883,78,74,73
885,78,79,78
886,78,82,79
887,78,78,77
888,77,69,83
889,77,75,76
890,77,74,80
891,77,81,81
893,77,41,77
894,77,75,78
895,77,80,76
896,77,74,65
897,77,77,72
899,77,77,73
900,77,67,68
901,77,74,77
902,77,81,67
903,77,71,77
904,77,79,78
905,77,83,77
906,77,81,71
907,77,73,76
908,77,73,77
909,77,72,63
910,77,79,74
912,77,82,72
913,77,74,76
914,77,78,76
915,77,51,69
916,77,60,76
917,77,75,76
918,77,66,77
919,77,80,73
920,77,81,72
921,77,79,74
922,77,52,71
923,77,82,71
924,77,71,81
925,77,76,76
926,77,59,68
929,77,79,75
930,77,55,68
931,77,64,77
932,77,59,73
933,77,76,75
934,77,80,78
935,77,79,81
936,77,72,72
938,77,75,80
939,77,71,80
940,77,49,73
941,77,83,70
942,77,77,77
943,77,69,74
944,77,79,75
945,77,76,76
946,77,55,72
947,77,72,74
948,77,81,66
949,77,76,75
950,77,48,78
951,77,84,72
952,77,65,70
954,77,62,73
955,77,76,74
957,77,74,77
958,77,71,81
959,77,70,73
960,77,76,74
961,77,76,75
962,77,72,81
963,77,78,84
964,77,77,78
965,77,76,72
966,77,79,65
967,77,76,76
968,77,62,69
969,77,75,78
970,77,80,69
971,77,80,80
972,77,73,75
973,77,61,70
974,77,72,77
975,77,78,74
977,77,79,74
979,77,78,77
980,77,81,72
982,77,68,64
984,77,77,76
985,77,80,78
986,77,62,70
987,77,62,74
988,77,74,72
989,77,62,70
990,77,83,74
991,77,77,79
992,77,69,73
993,77,84,73
994,77,75,77
995,77,73,70
996,77,71,81
997,77,81,76
999,77,80,75
1000,77,87,75
1001,77,77,70
1002,77,77,71
1003,77,70,72
1004,77,76,79
1006,77,55,66
1008,77,76,78
1009,77,77,65
1010,77,65,72
1011,77,75,74
1012,77,83,74
1014,77,77,72
1015,77,75,76
1016,77,71,75
1018,77,71,77
1019,77,77,68
1021,77,74,77
1022,77,77,80
1023,77,73,76
1024,77,82,70
1025,77,79,78
1026,77,78,78
1027,77,77,74
1028,77,73,72
1030,77,52,74
1031,77,78,71
1032,77,78,76
1033,77,78,69
1035,77,66,74
1036,77,76,75
1037,77,81,80
1038,77,76,78
1039,77,63,74
1040,77,75,80
1041,77,82,68
1042,77,73,73
1043,77,79,76
1044,77,76,81
1045,77,64,72
1047,77,67,74
1048,77,81,78
1050,77,85,72
1051,77,80,73
1052,77,81,73
1053,77,79,72
1054,77,71,77
1055,77,68,74
1056,77,82,77
1058,77,77,76
1059,77,81,73
1060,77,65,68
1061,77,67,75
1062,77,77,75
1063,77,69,73
1065,77,77,82
1066,77,84,77
1067,77,65,65
1068,77,78,70
1069,77,81,74
1070,77,80,78
1071,77,79,75
1072,77,77,74
1073,77,75,74
1074,77,72,77
1076,77,77,74
1077,77,76,73
1078,77,75,74
1079,77,69,83
1080,77,77,78
1081,77,77,70
1082,77,78,77
1083,77,75,74
1084,77,66,74
1085,77,47,62
1086,77,77,71
1087,77,60,77
1088,77,80,72
1089,77,72,74
1090,77,49,70
1091,77,69,72
1092,77,73,73
1093,77,82,70
1094,77,77,76
1095,77,73,74
1097,77,73,76
1098,77,59,73
1099,77,77,77
1100,77,77,75
1101,77,77,76
1102,77,72,68
1103,77,77,72
1104,77,72,81
1105,77,72,72
1106,77,80,74
1107,77,80,74
1108,77,71,80
1110,77,75,71
1111,77,64,76
1112,77,61,76
1113,77,75,77
1114,77,65,75
1115,77,73,79
1116,77,63,72
1117,77,75,64
1118,77,64,71
1120,77,51,67
1121,77,85,79
1122,77,69,77
1123,77,74,72
1124,77,62,68
1125,77,75,74
1126,77,75,72
1127,77,76,80
1128,77,68,74
1129,77,72,72
1130,77,78,75
1131,77,81,70
1132,77,67,75
1133,77,82,80
1134,77,80,71
1135,77,78,72
1136,77,70,76
1137,77,79,76
1138,77,62,78
1139,77,74,74
1140,77,75,77
1141,77,55,76
1142,77,62,74
1143,77,76,76
1144,77,77,76
1145,77,79,72
1146,77,77,80
1147,77,80,75
1148,77,75,80
1149,77,78,76
1150,77,74,72
1151,77,64,74
1152,77,69,70
1153,77,75,73
1155,77,78,75
1156,77,64,70
1157,77,77,79
1158,77,63,76
1159,77,80,76
1160,77,74,75
1161,77,73,74
1162,77,80,71
1163,77,75,75
1164,77,76,72
1165,77,76,81
1166,77,81,80
1167,77,75,72
1168,77,72,78
1169,77,75,73
1170,77,61,76
1171,77,68,71
1172,77,68,75
1173,77,62,70
1174,77,75,79
1175,77,80,77
1176,77,76,79
1177,77,76,75
1178,77,80,71
1179,77,80,74
1180,77,79,76
1181,77,82,79
1182,77,86,77
1183,77,77,70
1184,77,80,72
1185,77,64,67
1186,77,73,73
1187,77,77,78
1188,76,75,77
1189,76,77,71
1190,76,77,80
1191,76,70,76
1192,76,74,70
1193,76,82,74
1194,76,75,77
1196,76,73,78
1197,76,58,66
1198,76,73,69
1199,76,80,79
1202,76,62,73
1203,76,76,71
1204,76,72,73
1206,76,65,75
1207,76,78,69
1208,76,56,77
1209,76,74,74
1210,76,76,77
1211,76,76,74
1212,76,79,74
1213,76,58,77
1214,76,78,68
1215,76,73,71
1216,76,75,71
1217,76,75,70
1218,76,73,69
1219,76,69,80
1220,76,68,72
1222,76,77,77
1223,76,75,80
1224,76,78,76
1225,76,76,73
1226,76,72,75
1227,76,75,80
1228,76,77,74
1230,76,78,74
1231,76,61,71
1232,76,77,78
1233,76,79,74
1234,76,68,70
1235,76,76,76
1236,76,63,71
1237,76,74,74
1238,76,75,75
1239,76,76,72
1240,76,76,76
1241,76,70,77
1243,76,79,74
1244,76,76,73
1245,76,77,72
1246,76,79,78
1247,76,70,71
1248,76,61,62
1249,76,75,75
1250,76,76,74
1251,76,75,70
1252,76,64,66
1253,76,76,75
1254,76,77,73
1255,76,76,77
1256,76,76,66
1257,76,70,79
1258,76,74,73
1259,76,74,70
1260,76,74,78
1261,76,65,72
1262,76,69,81
1263,76,78,77
1264,76,80,71
1265,76,76,68
1266,76,76,80
1267,76,78,72
1268,76,60,73
1269,76,63,63
1270,76,80,80
1271,76,72,76
1272,76,82,70
1273,76,64,72
1274,76,77,74
1275,76,75,77
1276,76,79,76
1277,76,69,72
1278,76,75,77
1279,76,74,72
1280,76,78,74
1281,76,79,78
1282,76,52,71
1283,76,73,74
1284,76,78,75
1285,76,80,76
1286,76,69,68
1287,76,76,73
1288,76,76,75
1290,76,76,75
1291,76,54,70
1292,76,72,72
1293,76,78,70
1294,76,75,76
1295,76,72,71
1296,76,76,74
1297,76,69,76
1298,76,80,75
1299,76,72,70
1300,76,77,79
1301,76,64,70
1303,76,76,72
1304,76,75,75
1305,76,70,73
1306,76,73,75
1307,76,72,75
1308,76,76,74
1309,76,79,67
1310,76,76,71
1311,76,76,75
1312,76,79,75
1313,76,70,71
1314,76,78,79
1315,76,81,74
1316,76,55,77
1317,76,80,68
1319,76,75,77
1320,76,74,74
1322,76,60,73
1323,76,77,72
1324,76,77,71
1325,76,79,70
1326,76,78,76
1327,76,71,69
1328,76,53,70
1329,76,78,79
1330,76,72,72
1332,76,77,78
1333,76,78,78
1334,76,72,75
1335,76,77,68
1336,76,70,79
1339,76,77,72
1340,76,75,79
1342,76,80,70
1343,76,61,75
1344,76,75,73
1345,76,70,70
1346,76,73,74
1347,76,75,75
1348,76,77,69
1349,76,76,70
1350,76,77,74
1351,76,61,76
1352,76,78,64
1353,76,71,77
1354,76,78,76
1355,76,71,69
1356,76,72,70
1357,76,71,75
1358,76,76,72
1359,76,76,75
1360,76,79,73
1361,76,78,73
1362,76,81,70
1363,76,78,77
1365,76,76,70
1366,76,74,74
1367,76,68,72
1368,76,76,65
1369,76,70,77
1370,76,78,76
1372,76,76,69
1373,76,72,75
1375,76,82,64
1376,76,79,69
1377,76,73,76
1379,76,76,78
1380,76,72,75
1381,76,77,77
1382,76,72,69
1383,76,53,70
1384,76,58,72
1385,76,80,71
1386,76,77,72
1387,76,76,76
1388,76,72,72
1389,76,72,70
1390,76,63,75
1391,76,78,73
1392,76,67,67
1393,76,64,68
1394,76,78,72
1395,76,78,80
1396,76,70,73
1397,76,76,75
1398,76,70,75
1399,76,70,74
1400,76,75,74
1401,76,80,74
1402,76,78,74
1403,76,77,80
1404,76,74,70
1405,76,75,79
1406,76,78,75
1407,76,80,75
1408,76,79,73
1409,76,73,70
1410,76,72,72
1411,76,72,69
1412,76,81,73
1414,76,64,76
1415,76,77,77
1416,76,78,74
1417,76,67,60
1418,76,75,74
1419,76,68,76
1420,76,74,74
1421,76,63,62
1422,76,75,70
1423,76,68,70
1424,76,75,74
1425,76,81,73
1426,76,62,69
1427,76,67,72
1428,76,62,64
1429,76,47,68
1430,76,71,79
1431,76,78,71
1432,76,65,69
1433,76,73,73
1434,76,79,71
1436,76,78,74
1438,76,74,76
1439,76,74,76
1440,76,73,75
1442,76,78,69
1444,76,57,67
1445,76,73,77
1446,76,75,68
1447,76,63,73
1449,76,81,73
1450,76,79,72
1451,76,76,70
1452,76,77,78
1453,76,56,70
1454,76,58,68
1455,76,77,68
1456,76,76,76
1457,76,81,78
1458,76,63,69
1459,76,80,78
1460,76,68,74
1461,76,68,74
1462,76,76,72
1463,76,77,72
1464,76,80,70
1465,76,73,69
1466,76,69,59
1467,76,56,70
1468,76,52,71
1469,76,76,81
1470,76,80,63
1471,76,76,79
1472,76,78,72
1473,76,67,71
1474,76,79,74
1475,76,80,72
1476,76,82,82
1477,76,73,73
1478,76,73,73
1479,76,72,75
1480,76,59,73
1481,76,78,73
1482,76,64,62
1483,76,79,76
1484,76,80,81
1485,76,73,70
1486,76,55,77
1487,76,74,76
1488,76,76,74
1489,76,69,69
1490,76,60,68
1491,76,77,71
1492,76,74,70
1494,76,68,73
1495,76,79,75
1496,76,77,72
1497,76,87,66
1500,76,75,67
1501,76,78,74
1502,76,55,70
1503,76,72,73
1504,76,60,69
1505,76,71,77
1506,76,77,77
1507,76,78,73
1509,76,69,72
1510,76,76,75
1511,76,70,68
1512,76,75,75
1513,76,76,77
1514,76,76,74
1515,76,75,64
1516,76,71,74
1518,76,64,66
1519,76,72,72
1520,76,79,71
1521,76,80,69
1522,76,59,76
1523,76,75,76
1524,76,61,71
1525,76,77,64
1526,76,75,68
1527,76,74,74
1528,76,75,74
1530,76,78,78
1531,76,76,73
1532,76,77,78
1533,76,82,78
1534,76,80,64
1535,76,82,75
1536,76,71,76
1537,76,74,68
1538,76,75,75
1540,76,73,80
1541,76,74,75
1543,76,69,70
1544,76,82,71
1545,76,82,78
1546,76,75,76
1547,76,79,69
1548,76,67,65
1549,76,78,72
1550,76,73,70
1551,76,77,65
1552,75,60,72
1553,75,78,68
1554,75,62,73
1555,75,68,70
1556,75,75,74
1557,75,73,70
1558,75,67,66
1559,75,72,77
1560,75,67,68
1561,75,54,70
1562,75,34,64
1564,75,75,73
1566,75,79,75
1567,75,76,75
1568,75,63,64
1569,75,78,72
1570,75,74,74
1571,75,80,74
1572,75,78,72
1573,75,75,65
1576,75,78,68
1577,75,82,73
1578,75,79,72
1579,75,62,71
1580,75,63,67
1581,75,73,74
1582,75,75,74
1584,75,78,77
1585,75,72,76
1587,75,57,74
1588,75,62,68
1589,75,75,71
1590,75,69,73
1591,75,53,71
1592,75,75,72
1593,75,73,71
1594,75,79,68
1595,75,73,82
1596,75,75,73
1597,75,75,72
1598,75,80,70
1599,75,75,69
1600,75,74,72
1601,75,74,75
1602,75,73,73
1603,75,73,75
1604,75,73,72
1606,75,76,74
1607,75,71,72
1608,75,71,68
1609,75,76,67
1611,75,76,74
1612,75,44,71
1613,75,77,73
1614,75,73,74
1615,75,75,68
1617,75,76,74
1618,75,74,74
1619,75,75,72
1620,75,76,74
1621,75,76,74
1622,75,74,75
1623,75,75,74
1624,75,76,68
1625,75,76,65
1626,75,76,79
1627,75,70,70
1628,75,80,80
1629,75,81,67
1630,75,81,76
1631,75,67,73
1632,75,77,69
1633,75,74,76
1634,75,77,73
1635,75,77,74
1636,75,76,70
1637,75,67,65
1639,75,70,72
1640,75,71,69
1641,75,62,63
1642,75,70,71
1643,75,79,72
1644,75,71,72
1645,75,68,75
1646,75,77,74
1647,75,71,75
1648,75,49,60
1649,75,70,73
1650,75,50,68
1651,75,78,67
1652,75,72,81
1653,75,46,74
1654,75,54,67
1655,75,79,77
1656,75,74,73
1657,75,78,73
1658,75,73,71
1660,75,78,76
1661,75,73,70
1662,75,72,70
1663,75,76,68
1664,75,75,72
1665,75,72,72
1666,75,78,77
1667,75,76,72
1668,75,72,76
1669,75,71,75
1670,75,72,73
1671,75,75,75
1672,75,70,71
1673,75,66,74
1674,75,77,66
1675,75,78,76
1676,75,76,69
1677,75,76,72
1678,75,73,74
1679,75,67,75
1680,75,75,72
1681,75,53,71
1682,75,75,75
1683,75,77,71
1684,75,72,73
1685,75,73,74
1686,75,63,67
1687,75,73,75
1688,75,76,69
1689,75,77,70
1690,75,80,72
1691,75,77,74
1692,75,57,68
1693,75,73,66
1694,75,77,72
1695,75,79,79
1696,75,78,77
1697,75,74,68
1698,75,72,79
1699,75,72,74
1700,75,53,72
1701,75,77,69
1702,75,72,75
1703,75,53,64
1704,75,75,61
1705,75,74,64
1706,75,63,65
1707,75,74,74
1708,75,76,71
1709,75,77,74
1710,75,72,70
1711,75,59,67
1712,75,67,72
1713,75,77,75
1714,75,56,67
1715,75,75,76
1716,75,79,66
1717,75,72,70
1718,75,75,67
1719,75,73,74
1720,75,80,66
1721,75,76,77
1722,75,73,73
1723,75,59,66
1724,75,55,78
1725,75,81,64
1726,75,70,76
1727,75,77,72
1728,75,79,67
1729,75,80,68
1730,75,75,71
1731,75,70,71
1732,75,77,75
1733,75,78,65
1734,75,71,66
1736,75,75,76
1737,75,78,70
1738,75,76,79
1740,75,66,68
1742,75,83,67
1743,75,58,68
1744,75,71,74
1745,75,72,81
1746,75,69,74
1747,75,76,74
1748,75,74,72
1749,75,72,69
1750,75,59,76
1751,75,79,73
1752,75,76,74
1754,75,73,77
1755,75,75,72
1756,75,77,75
1757,75,72,69
1758,75,72,76
1759,75,73,77
1760,75,74,74
1761,75,78,72
1762,75,77,66
1764,75,72,72
1765,75,71,73
1766,75,70,82
1767,75,70,71
1768,75,77,76
1769,75,75,70
1770,75,75,72
1771,75,76,74
1772,75,73,71
1773,75,79,74
1774,75,73,67
1775,75,62,65
1776,75,64,71
1777,75,77,73
1778,75,73,66
1779,75,67,77
1781,75,79,74
1782,75,70,73
1783,75,77,67
1784,75,75,75
1785,75,77,72
1786,75,69,72
1787,75,79,78
1788,75,71,70
1789,75,73,73
1790,75,62,67
1791,75,69,76
1792,75,72,76
1793,75,77,70
1794,75,75,58
1795,75,76,74
1796,75,75,70
1797,75,75,74
1798,75,77,74
1799,75,77,70
1800,75,77,76
1801,75,69,71
1802,75,76,70
1803,75,76,68
1804,75,58,78
1805,75,73,71
1807,75,74,75
1808,75,75,75
1810,75,58,68
1811,75,65,74
1813,75,76,79
1814,75,50,67
1815,75,73,72
1816,75,77,75
1817,75,78,68
1819,75,64,70
1820,75,75,70
1821,75,70,75
1823,75,75,75
1824,75,72,76
1826,75,75,72
1827,75,74,72
1828,75,74,76
1829,75,67,79
1830,75,70,73
1831,75,60,74
1832,75,60,66
1833,75,70,74
1834,75,76,72
1835,75,76,75
