,ID,overall,international_reputation,skill_moves,weak_foot,crossing,finishing,heading_accuracy,short_passing,volleys,dribbling,curve,free_kick_accuracy,long_passing,ball_control,acceleration,sprint_speed,agility,reactions,balance,shot_power,jumping,stamina,strength,long_shots,aggression,interceptions,positioning,vision,penalties,composure,marking,standing_tackle,sliding_tackle
304,217699,81,60,40,60,58,79,91,73,78,73,73,47,61,75,66,72,64,84,55,78,87,87,84,72,86,54,85,72,74,78,34,48,24
305,216354,81,40,80,80,70,82,69,79,78,86,68,71,53,84,78,69,79,81,77,82,69,76,68,78,73,21,84,66,84,77,20,20,26
307,216201,81,40,80,60,78,78,67,79,64,82,49,53,66,81,92,94,78,78,43,85,84,77,84,76,66,21,76,75,64,71,28,38,31
312,210935,81,40,60,60,76,77,62,75,78,84,72,76,75,86,85,85,87,75,73,83,66,80,65,83,80,26,81,77,80,74,22,30,30
315,208830,81,60,60,60,63,83,64,66,73,76,59,48,48,76,91,91,78,86,77,85,74,88,68,67,92,49,84,72,76,79,48,52,51
321,202685,81,40,60,60,52,82,81,65,84,76,68,56,45,80,79,79,77,78,69,83,89,76,86,70,85,34,83,66,80,68,28,35,40
323,201995,81,60,80,80,79,71,44,78,68,87,71,69,74,86,94,91,90,74,88,84,44,78,53,84,67,69,70,78,53,82,38,60,58
324,201400,81,40,80,80,72,74,55,86,76,87,75,61,75,84,74,74,80,76,81,79,73,73,66,82,44,68,77,80,67,76,47,74,66
328,199451,81,40,80,100,73,84,74,77,76,85,80,77,68,83,84,83,91,80,86,78,85,76,57,69,55,44,83,76,74,82,28,21,26
329,199354,81,40,80,80,74,83,68,77,78,81,83,78,70,82,80,81,74,81,75,83,65,73,73,82,67,38,80,76,79,76,24,24,26
330,199189,81,40,60,100,65,69,65,84,61,85,68,70,78,87,77,77,70,77,58,80,63,74,82,79,73,45,71,81,65,80,56,58,52
331,198951,81,40,60,80,74,81,71,75,78,80,68,54,66,82,86,88,80,81,69,84,78,72,79,68,62,39,82,73,72,73,30,29,21
357,185431,81,60,60,80,60,85,80,72,80,74,64,54,48,79,69,77,69,85,58,78,68,79,78,68,70,42,90,66,70,78,22,32,28
359,183900,81,60,80,100,79,66,57,82,60,86,72,64,69,87,84,78,80,80,79,73,64,75,54,75,51,36,78,84,90,81,24,31,22
361,183483,81,60,60,80,60,82,85,66,80,75,72,71,59,78,53,62,50,79,34,85,79,71,90,78,83,10,83,66,61,80,10,15,10
364,181820,81,60,80,80,72,80,74,80,79,85,85,72,64,88,75,78,80,76,69,82,70,68,72,82,50,30,80,78,80,80,26,32,30
377,161648,81,60,100,80,74,75,53,78,74,89,80,75,74,83,79,73,85,75,79,80,76,67,72,77,61,36,74,78,87,78,31,36,22
379,153244,81,60,60,60,72,86,78,72,80,75,77,70,68,73,74,71,66,76,59,84,70,72,89,80,80,51,81,72,78,80,22,41,23
386,54050,81,80,60,80,78,80,75,81,83,73,84,81,82,80,67,68,71,83,77,86,76,78,83,79,81,54,79,80,83,88,48,51,37
389,49369,81,60,60,80,68,77,77,79,81,82,80,63,51,81,74,77,74,73,54,83,75,61,76,73,62,20,82,76,74,69,17,22,18
390,9676,81,60,80,60,69,85,75,76,80,80,78,72,71,78,73,75,78,77,74,85,89,65,70,75,75,39,83,75,85,84,20,39,35
394,214997,80,20,80,80,64,82,65,68,79,87,82,65,56,85,85,79,87,82,83,80,52,67,62,83,41,45,79,69,55,71,46,51,44
409,208093,80,20,40,80,61,81,78,75,76,76,71,56,56,79,80,83,71,81,69,77,72,69,71,74,41,40,82,58,73,70,42,41,41
413,206467,80,40,60,60,76,81,73,76,81,77,78,74,70,77,80,83,78,73,78,83,74,82,79,80,59,37,80,77,65,75,40,38,30
415,206273,80,40,80,80,74,73,55,80,69,82,75,70,72,82,85,90,83,77,78,75,59,73,66,73,70,63,76,77,60,76,38,45,42
416,205976,80,40,60,60,69,79,78,77,77,80,70,59,55,81,77,80,78,81,67,77,70,66,72,75,38,28,83,69,65,71,17,24,19
419,204529,80,40,60,80,65,83,73,64,74,76,61,46,36,77,77,80,78,79,78,83,81,65,82,76,61,23,83,63,67,81,16,26,22
424,203486,80,40,80,60,85,79,38,79,80,86,82,79,71,82,85,77,91,80,81,78,64,77,59,78,62,39,80,81,76,78,28,45,35
425,203280,80,40,60,80,75,82,79,78,79,76,76,75,64,80,78,78,91,79,77,79,81,82,61,77,65,44,86,78,77,78,22,21,18
428,200647,80,60,80,60,78,78,58,82,80,83,77,84,74,87,68,72,70,78,56,87,33,68,68,87,58,46,78,82,78,78,26,32,26
429,200610,80,40,60,60,78,80,67,81,76,79,79,76,67,81,78,77,73,81,84,85,77,88,82,81,75,44,80,81,72,80,17,50,33
433,199110,80,40,80,80,60,80,65,74,75,86,77,60,55,85,87,90,86,76,77,82,62,75,80,65,50,16,78,73,74,70,18,24,22
440,194879,80,40,60,80,70,83,80,76,82,74,55,47,61,80,63,68,70,82,66,74,81,83,83,67,66,42,87,72,63,67,29,46,31
445,193130,80,60,60,80,76,80,63,77,82,81,80,68,59,79,84,83,77,80,76,86,72,80,66,83,66,44,80,76,83,75,23,40,42
450,192492,80,40,80,80,78,75,69,77,61,85,81,79,68,83,82,78,85,80,66,64,69,60,42,80,54,31,75,77,75,75,18,37,25
451,192086,80,40,60,60,68,80,74,75,71,81,74,69,66,80,85,84,84,77,75,77,74,86,66,73,67,35,84,71,67,82,43,42,44
456,190717,80,40,80,80,73,74,88,73,69,83,66,60,67,78,82,87,86,76,76,76,84,78,86,72,75,40,77,65,73,70,44,56,53
457,190264,80,60,80,60,78,75,53,80,69,84,80,75,72,85,80,79,85,78,86,62,36,77,53,75,48,26,80,78,77,78,35,36,32
459,189250,80,40,60,80,48,77,88,69,73,75,53,52,40,78,73,76,69,73,48,85,71,68,89,70,74,33,82,53,62,76,25,23,13
463,187735,80,60,60,60,77,73,67,79,73,78,75,76,76,82,81,73,71,80,72,79,74,77,66,75,69,71,76,81,65,80,69,73,70
465,187491,80,20,60,80,56,82,70,77,79,77,78,64,62,78,89,85,75,74,66,80,67,74,75,74,67,32,83,75,74,73,26,28,24
466,186146,80,60,60,60,69,75,75,76,76,80,61,62,64,78,83,84,82,78,63,77,80,81,78,69,75,32,80,72,70,76,28,38,33
471,184111,80,60,60,80,58,79,87,72,73,73,60,67,48,78,70,76,69,71,48,85,82,74,90,73,63,29,76,73,77,77,25,30,18
474,178416,80,40,80,80,82,75,63,79,85,83,71,68,63,81,87,90,75,80,81,80,73,76,76,75,53,23,71,77,67,76,22,39,32
475,178311,80,60,60,80,72,81,60,76,76,83,80,78,58,85,86,84,81,78,80,80,50,74,60,78,60,24,85,78,78,78,18,20,26
480,176733,80,60,60,80,56,82,77,72,74,72,66,47,51,77,74,75,71,75,71,79,74,69,76,74,61,28,83,66,70,75,12,33,25
481,176376,80,40,100,80,68,81,34,76,77,85,82,59,71,85,79,76,87,82,81,81,32,86,70,80,80,55,83,73,79,83,55,62,24
484,173909,80,60,80,80,75,75,74,80,83,79,81,71,77,83,73,73,77,73,68,84,79,67,82,77,82,67,77,76,67,80,59,71,72
488,173221,80,60,60,80,85,74,55,77,75,82,74,71,70,84,77,78,74,78,76,87,35,86,70,85,66,59,79,74,83,73,54,58,50
500,164859,80,60,60,60,74,77,58,74,72,81,76,74,65,78,92,91,83,77,79,76,66,73,62,69,65,35,80,72,74,78,33,39,36
503,162369,80,40,60,80,65,85,83,78,84,72,73,56,47,76,53,53,65,84,59,81,72,64,79,66,83,30,86,73,81,79,20,29,22
505,158232,80,60,80,60,69,83,76,78,78,87,72,62,68,85,69,67,77,82,78,76,76,67,68,67,35,32,83,75,86,79,22,33,27
508,150516,80,60,60,60,75,82,65,77,89,78,80,75,64,78,79,77,69,76,72,92,71,68,78,81,70,36,79,78,83,79,33,39,39
514,138449,80,60,80,80,74,74,52,81,84,79,84,70,73,83,63,61,68,76,64,76,53,44,70,76,45,42,77,84,84,85,14,31,31
521,50542,80,40,60,80,54,87,66,68,82,78,63,68,43,77,77,72,83,81,88,88,75,72,61,80,63,19,87,67,74,84,24,20,11
525,230142,79,20,60,60,81,75,44,79,64,81,63,55,73,82,71,75,72,81,69,73,58,67,59,77,40,29,80,78,47,69,35,32,30
526,227476,79,20,60,60,52,80,77,66,73,74,69,40,54,77,82,87,74,81,77,77,78,86,83,66,90,40,83,58,68,79,33,45,35
528,225018,79,40,60,60,62,79,76,64,77,73,58,55,53,76,79,78,78,84,69,79,79,87,75,74,83,51,84,67,74,86,27,52,38
536,215259,79,20,80,100,81,75,46,75,71,82,81,78,71,77,90,82,78,69,68,71,57,80,58,74,44,33,75,77,60,71,46,41,55
542,212523,79,40,60,80,78,80,78,77,76,78,86,87,77,78,73,76,75,79,60,84,53,76,72,87,65,60,86,75,71,74,50,64,45
544,212150,79,40,80,80,74,68,37,81,60,84,74,66,72,82,79,67,91,78,90,45,59,78,37,61,61,41,74,81,60,78,32,36,27
546,211381,79,40,100,80,70,72,35,76,70,87,71,69,66,86,83,81,90,70,85,71,33,67,31,69,47,19,76,77,69,69,44,40,32
550,210514,79,40,60,60,80,59,64,78,55,82,81,69,73,79,93,91,78,78,74,80,73,81,66,66,69,69,80,66,46,69,74,78,76
554,207948,79,40,80,20,68,68,59,73,75,85,76,73,69,86,85,90,86,80,72,73,75,71,66,67,62,43,76,73,66,75,30,34,31
555,207441,79,20,80,60,66,82,69,79,81,86,83,70,59,85,76,75,78,82,88,70,74,67,57,75,66,35,83,73,69,71,23,40,32
563,205175,79,60,40,60,58,86,75,63,76,71,71,74,62,76,70,75,68,75,63,83,62,75,71,80,67,36,79,60,79,72,29,34,32
569,203757,79,20,40,80,45,75,84,63,75,80,66,54,44,81,80,81,64,80,61,79,92,68,83,64,76,29,78,75,75,72,18,19,24
575,201858,79,40,60,60,68,80,65,75,73,84,76,69,65,80,84,82,87,74,87,83,66,72,65,82,68,38,78,79,66,76,15,44,33
586,200454,79,40,60,80,53,81,77,72,82,72,66,59,51,79,72,73,76,86,78,80,75,64,63,68,59,26,87,63,71,69,26,21,26
589,199852,79,40,60,60,68,79,72,75,74,78,69,64,63,80,76,78,65,75,64,80,74,84,81,77,60,31,79,76,72,83,33,36,24
590,199602,79,40,60,60,67,80,71,70,79,76,68,80,53,83,66,68,65,76,58,85,70,62,82,80,75,34,79,60,81,78,20,26,25
594,198683,79,40,60,60,70,82,71,72,72,80,78,82,64,82,74,74,73,75,56,84,76,69,75,81,57,18,78,72,72,71,18,24,20
603,192565,79,40,80,80,76,75,40,80,69,82,75,69,74,82,78,75,83,74,81,64,63,81,52,68,48,46,76,80,81,81,33,29,21
608,190286,79,40,60,60,74,75,38,86,63,80,81,78,73,82,65,62,70,63,69,61,30,39,56,76,55,46,72,83,66,69,14,23,16
611,189963,79,40,60,80,45,80,82,68,76,72,66,58,45,75,63,68,67,72,71,83,83,73,90,76,68,38,83,65,77,77,25,42,28
612,189575,79,40,80,60,74,73,43,75,63,84,78,69,65,83,85,78,87,81,94,61,73,50,44,72,66,45,80,74,61,77,33,55,34
615,189169,79,20,40,60,61,80,78,63,74,72,40,38,46,78,72,77,59,74,53,85,75,66,87,73,79,28,81,65,73,75,24,24,32
616,188955,79,20,60,80,69,80,74,71,74,79,66,71,61,79,76,76,74,77,76,80,77,82,76,73,52,39,79,71,71,78,19,22,21
618,188428,79,60,80,80,46,77,74,73,77,79,79,71,65,77,90,91,70,80,70,79,83,78,73,75,62,29,77,74,80,80,34,39,37
627,184881,79,40,80,60,78,68,60,73,68,84,57,68,67,82,83,88,86,78,76,79,71,72,58,71,53,31,77,75,62,63,25,32,31
629,184069,79,40,40,80,49,83,88,54,75,65,55,54,42,74,53,65,53,79,50,85,61,68,90,72,88,19,83,47,64,72,15,39,12
642,176993,79,40,80,80,68,70,42,81,79,77,83,66,72,78,78,75,84,72,85,76,48,67,43,70,30,29,77,81,71,74,20,22,19
645,176571,79,60,60,60,77,73,76,77,65,78,74,57,71,79,76,75,86,75,81,75,88,86,71,75,78,52,79,75,71,74,49,60,57
657,170733,79,60,60,60,75,72,63,71,70,83,69,43,67,78,91,92,88,75,76,69,65,90,55,61,51,39,80,74,63,71,13,29,15
661,168320,79,60,60,60,71,81,73,76,80,72,54,55,51,82,77,77,72,77,68,80,73,75,79,72,62,26,80,80,70,77,22,29,28
669,159145,79,40,40,60,61,80,81,73,79,72,61,62,46,78,68,68,59,76,58,84,73,65,82,75,52,38,79,69,83,82,39,32,35
676,146482,79,40,60,60,88,74,75,85,61,77,81,76,83,82,45,51,52,85,51,73,39,55,61,81,57,63,77,84,84,78,15,57,42
677,146439,79,60,60,40,50,80,83,73,80,71,68,70,66,75,62,63,67,75,60,85,81,63,87,77,78,32,79,66,80,69,36,34,32
682,137809,79,40,60,100,57,81,78,71,72,78,68,38,45,77,76,73,77,72,82,80,77,75,76,73,72,40,82,72,85,76,18,33,25
689,45186,79,40,60,60,84,74,56,80,68,85,86,77,81,83,71,65,71,71,75,74,37,55,60,76,53,35,77,81,75,80,29,41,39
694,228941,78,40,60,60,59,75,77,67,74,77,69,33,58,78,75,85,77,79,72,76,84,85,74,66,76,55,83,66,80,70,34,40,35
695,228687,78,40,60,80,42,78,69,68,75,76,67,70,54,79,73,79,75,77,70,87,72,71,77,78,44,21,75,69,74,80,20,24,19
697,227796,78,20,80,80,65,71,49,76,70,86,69,58,59,79,93,90,91,77,92,72,86,68,51,58,44,30,73,76,48,64,28,32,37
703,223627,78,40,80,80,66,80,77,69,67,71,69,74,64,76,74,73,69,79,69,84,63,82,84,76,67,43,77,70,74,71,35,33,34
709,221992,78,40,80,80,74,72,56,71,71,83,69,59,68,77,94,93,92,75,76,75,75,80,57,72,42,53,75,72,64,76,25,27,25
713,219932,78,20,60,80,67,80,69,71,67,82,73,64,56,83,79,81,81,74,75,75,75,70,76,65,32,21,80,72,69,76,21,20,15
716,217877,78,20,80,60,78,69,39,77,58,80,64,63,61,81,85,81,86,80,75,79,63,59,54,67,30,30,77,73,57,68,17,30,29
718,216547,78,40,80,80,73,65,46,74,64,83,75,56,60,80,91,92,91,79,85,71,58,64,37,64,40,43,78,75,59,77,23,38,31
719,216497,78,20,60,60,64,78,56,77,78,82,66,62,62,80,83,78,80,77,75,85,59,68,67,74,55,39,78,75,59,67,23,33,29
723,215353,78,40,60,60,48,83,81,69,72,75,49,43,48,78,73,71,71,69,72,76,91,75,80,62,72,22,85,65,73,74,25,27,20
724,215333,78,40,40,80,44,81,78,64,76,72,46,64,38,76,69,76,64,74,58,86,79,69,90,64,58,20,78,47,64,73,20,24,22
725,215061,78,40,60,100,61,80,75,67,71,74,67,57,65,73,78,84,76,75,66,82,88,77,72,80,64,28,81,69,68,74,25,27,27
728,213582,78,40,80,40,78,77,63,80,83,86,75,74,81,85,61,63,72,75,72,88,55,74,75,86,48,30,71,83,69,83,29,33,31
730,213135,78,40,80,60,69,79,73,75,70,77,54,40,59,75,82,84,75,76,61,77,75,74,82,69,69,28,80,71,65,70,30,24,18
734,212198,78,40,60,60,76,65,58,80,78,79,81,76,77,81,79,78,82,75,79,83,72,76,69,79,62,68,75,76,66,80,58,66,62
